id,kecamatan,komoditas,harga_terendah,harga_tertinggi,harga_rata_rata
1,Semua Kecamatan,Bawang Merah,"Rp.30,000","Rp.52,000","Rp.41,000"
2,Semua Kecamatan,Bawang Putih,"Rp.25,000","Rp.38,000","Rp.31,500"
3,Semua Kecamatan,Beras,"Rp.14,000","Rp.18,000","Rp.16,000"
4,Semua Kecamatan,Cabai Merah,"Rp.30,000","Rp.67,000","Rp.48,500"
5,Semua Kecamatan,Cabai Rawit,"Rp.30,000","Rp.50,000","Rp.40,000"
6,Semua Kecamatan,Daging Ayam Ras,"Rp.32,000","Rp.40,000","Rp.36,000"
7,Semua Kecamatan,Daging Sapi,"Rp.130,000","Rp.160,000","Rp.145,000"
8,Semua Kecamatan,Gula Pasir,"Rp.17,000","Rp.19,000","Rp.18,000"
9,Semua Kecamatan,Jagung,"Rp.5,000","Rp.12,000","Rp.8,500"
10,Semua Kecamatan,Kedelai,"Rp.12,000","Rp.19,000","Rp.15,500"
11,Semua Kecamatan,Minyak Goreng Kuning Curah,"Rp.17,000","Rp.21,000","Rp.19,000"
12,Semua Kecamatan,Telur Buras,"Rp.2,000","Rp.2,000","Rp.2,000"
13,Semua Kecamatan,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Semua Kecamatan,Telur Ras,"Rp.25,500","Rp.37,500","Rp.31,500"
1,Medan Area,Bawang Merah,"Rp.42,000","Rp.48,000","Rp.45,000"
2,Medan Area,Bawang Putih,"Rp.28,000","Rp.30,000","Rp.29,000"
3,Medan Area,Beras,"Rp.14,000","Rp.16,500","Rp.15,250"
4,Medan Area,Cabai Merah,"Rp.42,000","Rp.42,000","Rp.42,000"
5,Medan Area,Cabai Rawit,"Rp.35,000","Rp.44,000","Rp.39,500"
6,Medan Area,Daging Ayam Ras,"Rp.32,000","Rp.35,000","Rp.33,500"
7,Medan Area,Daging Sapi,"Rp.140,000","Rp.140,000","Rp.140,000"
8,Medan Area,Gula Pasir,"Rp.17,000","Rp.18,500","Rp.17,750"
